,index,top,force [pN],step,fit to failure [ns],pcov
0,0,VBS1,260,"first passage, N -> I1",12.781841295915369,0.24798832084249567
1,1,VBS1,240,"first passage, N -> I1",17.954774141671006,2.0167890608086556
2,2,VBS1,220,"first passage, N -> I1",160.6677089245844,369.8444643417769
3,3,VBS1,200,"first passage, N -> I1",258.54150014078846,643.4105842661622
4,0,VBS1,260,"middle passage, I1 -> I2",39.502235198936276,2.6375919587681818
5,1,VBS1,240,"middle passage, I1 -> I2",127.29194176031442,22.465203291955312
6,2,VBS1,220,"middle passage, I1 -> I2",294.18193747393684,208.7331892502948
7,3,VBS1,200,"middle passage, I1 -> I2",721.2080565464855,6442.436843056657
8,0,VBS1,260,final passage,16.35665848406452,4.588739547732515
9,1,VBS1,240,final passage,9.870417919860467,4.2710107109515585
10,2,VBS1,220,final passage,92.83666127419316,536.2685478773471
11,3,VBS1,200,final passage,418.28752351329126,12246.949523547126
12,0,VBS1,260,"complete unfolding, N -> U",102.62077333626021,19.202815897986294
13,1,VBS1,240,"complete unfolding, N -> U",195.33068764458847,29.324564041709962
14,2,VBS1,220,"complete unfolding, N -> U",780.6316725411036,587.8357511669951
15,3,VBS1,200,"complete unfolding, N -> U",1595.8088695931986,12007.056823634242
16,0,VBS33,240,"first passage, N -> I1",173.50104157032348,437.19776046784995
17,1,VBS33,220,"first passage, N -> I1",156.99617802429538,156.31692024257126
18,2,VBS33,200,"first passage, N -> I1",168.44605104989728,70.03859534157472
19,3,VBS33,180,"first passage, N -> I1",168.13658075811796,508.36406881766817
20,0,VBS33,240,"middle passage, I1 -> I2",338.5053808118913,1154.8392821433356
21,1,VBS33,220,"middle passage, I1 -> I2",323.57230178510866,6866.368195331886
22,2,VBS33,200,"middle passage, I1 -> I2",644.337749047109,1140.484167909309
23,3,VBS33,180,"middle passage, I1 -> I2",1494.9576459474974,11896.781612190745
24,0,VBS33,240,final passage,79.67920017994919,47.500037089441676
25,1,VBS33,220,final passage,146.90264575142427,1256.3968541079917
26,2,VBS33,200,final passage,166.17012463237677,1355.2378203043102
27,3,VBS33,180,final passage,1821.1161923229004,381460.45703687984
28,0,VBS33,240,"complete unfolding, N -> U",402.64796970774324,766.2804032362565
29,1,VBS33,220,"complete unfolding, N -> U",607.8277725953085,20948.382679209277
30,2,VBS33,200,"complete unfolding, N -> U",1144.9158712618805,3750.1367839362324
31,3,VBS33,180,"complete unfolding, N -> U",1606.011675446414,196482.79015431664
32,0,VBS36,240,"first passage, N -> I1",17.24310065547828,4.928788154831091
33,1,VBS36,220,"first passage, N -> I1",26.363306246753833,9.376889034419102
34,2,VBS36,200,"first passage, N -> I1",39.15520621756314,1.7282173731851858
35,3,VBS36,180,"first passage, N -> I1",188.07356752165364,45.66061363770508
36,0,VBS36,240,"middle passage, I1 -> I2",206.07276101198707,566.2441212099798
37,1,VBS36,220,"middle passage, I1 -> I2",163.04558183358233,323.65674364556975
38,2,VBS36,200,"middle passage, I1 -> I2",605.2412837521423,1454.7878901887577
39,3,VBS36,180,"middle passage, I1 -> I2",529.4044726743399,732.6809272964882
40,0,VBS36,240,final passage,21.90269403464652,7.896958795800515
41,1,VBS36,220,final passage,214.98989316477036,2139.067363906049
42,2,VBS36,200,final passage,174.32424757986973,782.8763886294621
43,3,VBS36,180,final passage,199.14943052770016,231.74199532576708
44,0,VBS36,240,"complete unfolding, N -> U",245.20403635278575,297.4157907913908
45,1,VBS36,220,"complete unfolding, N -> U",231.83354372265774,550.0836971616969
46,2,VBS36,200,"complete unfolding, N -> U",643.7917648132773,1502.3757067105148
47,3,VBS36,180,"complete unfolding, N -> U",1472.0688228964555,9082.820592716704
48,0,VBS1 FL,260,"first passage, N -> I1",0.3641294477467532,0.09886820740548008
49,1,VBS1 FL,240,"first passage, N -> I1",2.6981368533928847,0.15824474870734323
50,2,VBS1 FL,220,"first passage, N -> I1",7.493246435937794,0.5990151290461847
51,3,VBS1 FL,200,"first passage, N -> I1",16.260530750694187,3.578102540622767
52,4,VBS1 FL,180,"first passage, N -> I1",63.962378587561076,37.81875103648869
